"ID","gene"
"quaternary ammonium compounds an antimicrobial mainstay and platform for innovation to address bacterial resistance","qac_delta_e"
"bacterial communities and antibiotic resistance communities in a fullscale hospital wastewater treatment plant by highthroughput pyrosequencing","qac_delta_e"
"chlorhexidine bathing for the prevention of colonization and infection with multidrugresistant microorganisms in a hematopoietic stem cell transplantation unit over a 9year period impact on chlorhexidine susceptibility","qac_delta_e"
"assessment of susceptibility of mould isolates towards biocides","qac_delta_e"
"characterization of preantibiotic era klebsiella pneumoniae isolates with respect to antibioticdisinfectant susceptibility and virulence in galleria mellonella","qac_delta_e"
"polymorphic variation in susceptibility and metabolism of triclosanresistant mutants of escherichia coli and klebsiella pneumoniae clinical strains obtained after exposure to biocides and antibiotics","qac_delta_e"
"klebsiella oxytoca with reduced sensitivity to chlorhexidine isolated from a diabetic foot ulcer","qac_delta_e"
"determining the resistance of carbapenemresistant klebsiella pneumoniae to common disinfectants and elucidating the underlying resistance mechanisms","qac_delta_e"
"the genetic environment of the antiseptic resistance genes qaceδ1 and cepa in klebsiella pneumoniae","qac_delta_e"
"reduced susceptibility to biocides in acinetobacter baumannii association with resistance to antimicrobials epidemiological behaviour biological cost and effect on the expression of genes encoding porins and efflux pumps","qac_delta_e"
"antibiotic adjuvants diverse strategies for controlling drugresistant pathogens","qac_delta_e"
"benzalkonium chloride and heavymetal tolerance in listeria monocytogenes from retail foods","qac_delta_e"
"fate of antibiotic resistance genes in sewage treatment plant revealed by metagenomic approach","qac_delta_e"
"comparative genomics of mycobacterium tuberculosis drug efflux pumps and their transcriptional regulators","qac_delta_e"
"biocide susceptibility in bifidobacteria of human origin","qac_delta_e"
"klebsiella pneumoniae susceptibility to biocides and its association with cepa qacδe and qace efflux pump genes and antibiotic resistance","qac_delta_e"
"macrolide inactivation gene cluster mphamrxmphr adjacent to a class 1 integron in aeromonas hydrophila isolated from a diarrhoeic pig in oklahoma","qac_delta_e"
"genomewide genetic marker analysis and genotyping of escherichia fergusonii strain otsvef60","qac_e_delta"
"molecular epidemiology of salmonella infantis in europe insights into the success of the bacterial host and its parasitic pesilike megaplasmid","qac_e_delta"
"quantitative detection of six classes of antibiotic resistance and class i integron genes in aquatic products","qac_e_delta"
"comparative genome analysis of inchi2 vim1 carbapenemaseencoding plasmids of escherichia coli and salmonella enterica isolated from a livestock farm in germany","qac_e_delta"
"azorean wild rabbits as reservoirs of antimicrobial resistant escherichia coli","qac_e_delta"
"widespread dissemination of class 1 integron components in soils and related ecosystems as revealed by cultivationindependent analysis","qac_e_delta"
"pathogenic and multidrugresistant escherichia fergusonii from broiler chicken","qac_e_delta"
"study on resistance mechanism and resistant genes of pan resistant pseudomonas aeruginosa","qac_e_delta"
"high prevalence of the plasmidmediated quinolone resistance determinant qnra in multidrugresistant enterobacteriaceae from blood cultures in liverpool uk","qac_e_delta"
